Strategy for low power/high interest?,Stakeholders with low power and high interest should be kept informed.
Agile's 'Inverted Triangle' constraints?,"In Agile, Cost and Schedule are fixed, while Scope is variable."
Uncontrolled expansion of project scope?,"Scope creep is the uncontrolled expansion of scope without adjusting time, cost, or resources."
Adding unrequested features to scope?,"Gold Plating is adding extra, unrequested features that consume resources and add risk."
What is the critical path?,"The critical path is the longest sequence of dependent activities, determining the project's minimum duration."
What is 'float' or 'slack'?,Float is the amount of time an activity can be delayed without delaying the project's end date.
Schedule compression by adding resources?,"Crashing is adding resources to critical path activities, which typically increases cost."
Schedule compression by overlapping tasks?,"Fast-tracking is performing activities in parallel that were planned sequentially, which increases risk."
Budget for 'known-unknown' risks?,The Contingency Reserve is budget set aside for identified risks.
Budget for 'unknown-unknown' risks?,The Management Reserve is budget set aside for unidentified or surprise risks.
Quality: Conformance to requirements vs. _____?,Quality is both conformance to requirements and fitness for use (does it solve the problem?).
Quality: Low quality vs. low grade?,Low quality is always a problem; low grade may be acceptable if it meets requirements.
Quality Assurance (QA) vs. QC?,"QA focuses on preventing defects (process), while QC focuses on detecting defects (product)."
Tool for prioritizing defect causes?,A Pareto Chart helps prioritize problems by showing which causes have the largest impact (80/20 rule).
Tool to see if process is stable?,A Control Chart is used to determine if a process is stable and in control over time.
Tool for root cause analysis?,A Cause-and-Effect (Ishikawa/Fishbone) Diagram helps identify the root causes of a problem.
Most expensive type of quality cost?,"External Failure Costs (e.g., warranty claims, recalls) are the most expensive cost of poor quality."
What is PDCA?,The Plan-Do-Check-Act cycle is a framework for continuous improvement.
A risk that has occurred?,An issue is a risk that has already occurred and must now be managed.
Negative risks are called _____.,Threats are negative risks that could harm the project.
Positive risks are called _____.,Opportunities are positive risks that could benefit the project.
What is EMV?,"Expected Monetary Value (EMV) = Probability × Impact, used in quantitative risk analysis."
Risk response: Eliminate a threat?,The Avoid strategy aims to eliminate a threat entirely.
Risk response: Reduce a threat?,The Mitigate strategy aims to reduce the probability and/or impact of a threat.
Risk response: Shift a threat?,"The Transfer strategy shifts risk to a third party, often through insurance or contracts."
Risk response: Ensure an opportunity?,The Exploit strategy takes action to ensure a positive risk (opportunity) occurs.
Risk response: Increase an opportunity?,The Enhance strategy aims to increase the probability and/or impact of an opportunity.
Risk response: Partner for opportunity?,The Share strategy involves partnering with others to capture the benefit of an opportunity.
Risk left after a response?,Residual risk is the risk that remains after a response strategy has been implemented.
New risk from a response?,A secondary risk is a new risk created by implementing a risk response.
PMI's four core ethical values?,"The four core values are Responsibility, Respect, Fairness, and Honesty."
Aspirational vs. Mandatory standards?,Aspirational standards are ideals to strive for; mandatory standards are required and enforceable.
First step with conflict of interest?,You must immediately disclose the conflict of interest to the relevant parties.
Ethical duty for bad news?,"Under the value of Honesty, you have a mandatory duty to report project status truthfully."
PMBOK 8 Principle: see big picture?,The 'Adopt a Holistic View' principle emphasizes systems thinking and understanding interdependencies.
PMBOK 8 Principle: outcomes over outputs?,The 'Focus on Value' principle prioritizes delivering outcomes and benefits over just completing tasks.
PMBOK 8 Principle: NEW for 2026?,"The 'Integrate Sustainability' principle, focusing on environmental, social, and economic impacts, is new."
PMBOK 8 Principle: team trust/safety?,The 'Build an Empowered Culture' principle focuses on creating trust and psychological safety.
PMP Mindset: first action for problem?,Analyze or assess the root cause and impact before taking any corrective action.
PMP Mindset: common wrong answer?,A common trap is to 'Escalate to the sponsor immediately' without first analyzing the problem.
2026 Exam: Business Environment weight?,The Business Environment domain has a 26% weight on the 2026 PMP exam.
What is Brooks's Law?,Brooks's Law states that 'adding manpower to a late software project makes it later.'
"XP practice: two developers, one keyboard?",Pair Programming is an XP practice where two developers work together at one computer.
XP practice: write tests first?,Test-Driven Development (TDD) is an XP practice of writing an automated test before writing the code.
_____ bias seeks confirming evidence.,Confirmation bias is the tendency to seek information that confirms what you already believe.
_____ bias overweights first information.,Anchoring bias is over-relying on the first piece of information received when making decisions.
_____ bias favors people like you.,Affinity bias is the tendency to favor people who are similar to you.
Best action for unethical sponsor pressure?,"Explain the risks, propose ethical alternatives, and document the decision; escalate if necessary."
Scrum artifact: list of everything needed?,The Product Backlog is the ordered list of everything that might be needed for the product.
Scrum artifact: items for the sprint?,The Sprint Backlog contains the items selected for the sprint plus the plan to deliver them.
Scrum artifact: usable end-product?,The Increment is the sum of all completed backlog items from the current and previous sprints.
Kanban practice: limit concurrent work?,Limiting Work in Progress (WIP) is a core Kanban practice to improve flow and identify bottlenecks.
Who decides team capacity in Scrum?,The Development Team decides how much work they can commit to in a sprint.
Who sets priority in Sprint Planning?,The Product Owner sets the priority of what should be built during Sprint Planning.
Who owns process improvement actions?,The team collectively decides on and owns the improvement actions from the Retrospective.
